Name,Brand,Store Number,Phone Number,Ownership Type,Street Combined,Street 1,Street 2,Street 3,City,Country Subdivision,Country,Postal Code,Coordinates,Latitude,Longitude,Timezone,Current Timezone Offset,Olson Timezone,First Seen
Oak St & 12th Ave,Starbucks,4753-103524,604-709-9799,CO,"2787 Laurel Street, Academic Ambulatory Care Centre",2787 Laurel Street,,Academic Ambulatory Care Centre,Vancouver,BC,CA,V5Z 3J5,"49.2608718872, -123.12575531",49.26087189,-123.1257553,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
446 Spadina Rd.,Starbucks,4210-531,(416) 932-0895,CO,446 Spadina Rd.,446 Spadina Rd.,,,Toronto,ON,CA,M5P 3M2,"43.6892623901, -79.4129638672",43.68926239,-79.41296387,Eastern Standard Time,-300,GMT-05:00 America/Toronto,2013-12-08 17:41:59-05:00
Safeway-Maple Ridge #198,Starbucks,74146-28935,604-460-1553,LS,"20201 Lougheed Hwy., 300",20201 Lougheed Hwy.,300,,Maple Ridge,BC,CA,V2X 2P6,"49.2209701538, -122.660217285",49.22097015,-122.6602173,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
321 Cornwall Rd,Starbucks,4573-96127,905-844-8668,CO,"321 Cornwall Road, Unit 114, Old Oakville Market Place",321 Cornwall Road,Unit 114,Old Oakville Market Place,Oakville,ON,CA,L6J 7Z5,"43.4575691223, -79.6786193848",43.45756912,-79.67861938,Eastern Standard Time,-300,GMT-05:00 America/Toronto,2013-12-08 17:41:59-05:00
Corral Centre,Starbucks,4594-97209,204-727-2119,CO,"821 18th St N, Coral Centre",821 18th St N,,Coral Centre,Brandon,MB,CA,R7A 7S1,"49.8652458191, -99.9612731934",49.86524582,-99.96127319,Central Standard Time,-360,GMT-06:00 America/Winnipeg,2013-12-08 17:41:59-05:00
Yonge & Avondale,Starbucks,4711-103342,416-590-7396,CO,1 Avondale Avenue,1 Avondale Avenue,,,Toronto,ON,CA,M2N 7J1,"43.7579994202, -79.4097747803",43.75799942,-79.40977478,Eastern Standard Time,-300,GMT-05:00 America/Toronto,2013-12-08 17:41:59-05:00
Safeway - Burnaby #44,Starbucks,79644-107081,,LS,6564 East Hastings St,6564 East Hastings St,,,Burnaby,BC,CA,V5B 1S2,"49.2795295715, -122.967216492",49.27952957,-122.9672165,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
Safeway-Prince Rupert #78,Starbucks,74759-97791,2506242412,LS,200 2nd Ave W,200 2nd Ave W,,,Prince Rupert,BC,CA,V8J 1G5,"54.3149299622, -130.323303223",54.31492996,-130.3233032,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
Safeway-Winnipeg #728,Starbucks,74713-97404,204-256-9430,LS,2 Alpine Avenue,2 Alpine Avenue,,,Winnipeg,MB,CA,R2M 0Y5,"49.85546875, -97.10181427",49.85546875,-97.10181427,Central Standard Time,-360,GMT-06:00 America/Winnipeg,2013-12-08 17:41:59-05:00
Save-on-Foods - Shelbourne Victoria,Starbucks,74865-97799,205-477-2433,LS,"3958 Shelbourne St, 205",3958 Shelbourne St,,205,Victoria,BC,CA,V8N 3E2,"48.4456329346, -123.333312988",48.44563293,-123.333313,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
Victoria Bay Centre,Starbucks,4500-90702,250-381-1150,CO,"1150 Douglas Street, Unit- 230A, Victoria Bay Centre",1150 Douglas Street,Unit- 230A,Victoria Bay Centre,Victoria,BC,CA,V8W 3M9,"48.4249458313, -123.36668396",48.42494583,-123.366684,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
675 Appleby Line,Starbucks,4675-100793,905-637-7018,CO,675 Appleby Line,675 Appleby Line,,,Burlington,ON,CA,L7L 2Y5,"43.3733215332, -79.7611160278",43.37332153,-79.76111603,Eastern Standard Time,-300,GMT-05:00 America/Toronto,2013-12-08 17:41:59-05:00
1331 Main Street,Starbucks,4919-125004,(604) 929-6047,CO,1331 Main Street,1331 Main Street,,,North Vancouver,BC,CA,V7J 3J7,"49.3059425354, -123.037162781",49.30594254,-123.0371628,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
Calgary House,Starbucks,4736-103822,403 269 6856,CO,"550 - 6 Avenue SW, Calgary House",550 - 6 Avenue SW,,Calgary House,Calgary,AB,CA,T2P 0S2,"51.0478477478, -114.073547363",51.04784775,-114.0735474,Mountain Standard Time,-420,GMT-07:00 America/Edmonton,2013-12-08 17:41:59-05:00
Safeway-Calgary #2704,Starbucks,74471-96065,,LS,4915 130th Avenue SE,4915 130th Avenue SE,,,Calgary,AB,CA,T2Z 3V8,"50.9305534363, -113.963378906",50.93055344,-113.9633789,Mountain Standard Time,-420,GMT-07:00 America/Edmonton,2013-12-08 17:41:59-05:00
2nd Ave & 22nd Street,Starbucks,4456-83780,306-665-5558,CO,100 - 2nd Avenue S,100 - 2nd Avenue S,,,Saskatoon,SK,CA,S7K 1K5,"52.128528595, -106.663505554",52.1285286,-106.6635056,Canada Central Standard Time,-360,GMT-06:00 America/Regina,2013-12-08 17:41:59-05:00
Westhills,Starbucks,4275-64439,403-246-4100,CO,"274 Stewart Green S.W., Westhills Towne Centre",274 Stewart Green S.W.,,Westhills Towne Centre,Calgary,AB,CA,T3H 3C8,"51.0143165588, -114.170898438",51.01431656,-114.1708984,Mountain Standard Time,-420,GMT-07:00 America/Edmonton,2013-12-08 17:41:59-05:00
Marda Loop,Starbucks,4413-13201,4036854500,CO,"3531 Garrison Gate Southwest, Garrison Woods",3531 Garrison Gate Southwest,,Garrison Woods,Calgary,AB,CA,T2T 6E4,"51.0227546692, -114.11466217",51.02275467,-114.1146622,Mountain Standard Time,-420,GMT-07:00 America/Edmonton,2013-12-08 17:41:59-05:00
Lethbridge Chapters,Starbucks,4372-10792,403-329-9091,CO,"701B First Avenue South, Park Place Shopping Center",701B First Avenue South,,Park Place Shopping Center,Lethbridge,AB,CA,T1J 4L9,"49.6983833313, -112.837226868",49.69838333,-112.8372269,Mountain Standard Time,-420,GMT-07:00 America/Edmonton,2013-12-08 17:41:59-05:00
Pemberton Plaza,Starbucks,141-227,(604) 987-1191,CO,1290 Marine Drive,1290 Marine Drive,,,North Vancouver,BC,CA,V7P 1T2,"49.3240127563, -123.109909058",49.32401276,-123.1099091,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
Edgemont,Starbucks,170-49,(604) 985-8750,CO,3127 Edgemont Boulevard,3127 Edgemont Boulevard,,,North Vancouver,BC,CA,V7R 2N7,"49.3376922607, -123.102493286",49.33769226,-123.1024933,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
189 Rathburn Rd W,Starbucks,4303-1148,(905) 896-7070,CO,189 Rathburn Road West,189 Rathburn Road West,,,Mississauga,ON,CA,L5B 4C1,"43.5944786072, -79.6480636597",43.59447861,-79.64806366,Eastern Standard Time,-300,GMT-05:00 America/Toronto,2013-12-08 17:41:59-05:00
960 Southdown Rd,Starbucks,4469-87801,905-823-7615,CO,"960 Southdown Road, Building C, Suite 13, Clarkson Crossing",960 Southdown Road,"Building C, Suite 13",Clarkson Crossing,Mississauga,ON,CA,L5J 2Y4,"43.5090675354, -79.631477356",43.50906754,-79.63147736,Eastern Standard Time,-300,GMT-05:00 America/Toronto,2013-12-08 17:41:59-05:00
Arbutus & Valley,Starbucks,4633-99432,604-261-5447,CO,4635 Arbutus Street,4635 Arbutus Street,,,Vancouver,BC,CA,V6J 4A3,"49.2447738647, -123.153892517",49.24477386,-123.1538925,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
Safeway - West Vancouver #38,Starbucks,79572-107082,,LS,5385 Headland Dr,5385 Headland Dr,,,West Vancouver,BC,CA,V7W 3E7,"49.3510437012, -123.253211975",49.3510437,-123.253212,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
Sunshine Hills,Starbucks,4483-88804,604-598-1112,CO,"6483 120th St, Sunshine Hills Shopping Centre",6483 120th St,,Sunshine Hills Shopping Centre,Delta,BC,CA,V4E 3G5,"49.1205635071, -122.891197205",49.12056351,-122.8911972,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
1690 Huron Church Rd,Starbucks,4669-100547,519-258-9658,CO,1690 Huron Church Road,1690 Huron Church Road,,,Windsor,ON,CA,N9C 2L1,"42.2859954834, -83.0568084717",42.28599548,-83.05680847,Eastern Standard Time,-300,GMT-05:00 America/New_York,2013-12-08 17:41:59-05:00
Cadboro Bay,Starbucks,4538-95043,250-382-8119,CO,"3849 Cadboro Bay Road, Cadboro Bay Village",3849 Cadboro Bay Road,,Cadboro Bay Village,Victoria,BC,CA,V8N 4G3,"48.4615058899, -123.296150208",48.46150589,-123.2961502,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
The Bridges,Starbucks,4567-96456,403-269-2006,CO,"951 General Avenue NE, CU#6, The Piazza",951 General Avenue NE,CU#6,The Piazza,Calgary,AB,CA,T2E 9E1,"51.052947998, -114.040626526",51.052948,-114.0406265,Mountain Standard Time,-420,GMT-07:00 America/Edmonton,2013-12-08 17:41:59-05:00
International Village,Starbucks,4341-1741,604-687-6116,CO,99 Keefer Pl,99 Keefer Pl,,,Vancouver,BC,CA,V6B 6N5,"49.2798843384, -123.107223511",49.27988434,-123.1072235,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
UBC - Fred Kaiser Bldg,Starbucks,75264-94935,604-827-5779,LS,"2332 Main Mall, UBC Fred Kaiser Bldg",2332 Main Mall,UBC Fred Kaiser Bldg,,Vancouver,BC,CA,V6T 1Z4,"49.26222229, -123.249938965",49.26222229,-123.249939,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
Brewsters @ Banff Gondola,Starbucks,5013-146204,,LS,Mountain Avenue,Mountain Avenue,,,Banff,AB,CA,T1L 1B2,"51.1483459473, -115.555892944",51.14834595,-115.5558929,Mountain Standard Time,-420,GMT-07:00 America/Edmonton,2013-12-08 17:41:59-05:00
Tower Lane Mall,Starbucks,4937-124045,403 9480532,CO,"505 Main Street SW Tower Lane Mall, Bay 101",505 Main Street SW Tower Lane Mall,Bay 101,,Airdrie,AB,CA,T4B 3K3,"51.2894706726, -114.013900757",51.28947067,-114.0139008,Mountain Standard Time,-420,GMT-07:00 America/Edmonton,2013-12-08 17:41:59-05:00
50 Rideau Centre,Starbucks,4960-130968,613-230-0330,CO,50 Rideau Centre,50 Rideau Centre,,,Ottawa,ON,CA,K1N 9J7,"45.4254264832, -75.6929397583",45.42542648,-75.69293976,Eastern Standard Time,-300,GMT-05:00 America/Toronto,2013-12-08 17:41:59-05:00
Tuscany Drive Market,Starbucks,4549-94631,403-208-0203,CO,"11300 Tuscany Boulevard NW, Tuscany Market",11300 Tuscany Boulevard NW,,Tuscany Market,Calgary,AB,CA,T3L 2V7,"51.1241989136, -114.246917725",51.12419891,-114.2469177,Mountain Standard Time,-420,GMT-07:00 America/Edmonton,2013-12-08 17:41:59-05:00
13th & Lonsdale,Starbucks,182-143,(604) 983-0976,CO,1323 Lonsdale Avenue,1323 Lonsdale Avenue,,,North Vancouver,BC,CA,V7M 2H7,"49.3204231262, -123.072593689",49.32042313,-123.0725937,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
6020 Hurontario St,Starbucks,4829-109065,905-502-6850,CO,6020 Hurontario Street,6020 Hurontario Street,,,Mississauga,ON,CA,L5R 4B3,"43.6263542175, -79.6801986694",43.62635422,-79.68019867,Eastern Standard Time,-300,GMT-05:00 America/Toronto,2013-12-08 17:41:59-05:00
Safeway - Calgary #212,Starbucks,74984-102932,,LS,813 11th Avenue SW,813 11th Avenue SW,,,Calgary,AB,CA,T2R 0E6,"51.0424003601, -114.080421448",51.04240036,-114.0804214,Mountain Standard Time,-420,GMT-07:00 America/Edmonton,2013-12-08 17:41:59-05:00
Cedar Hills-96th & 128th,Starbucks,4715-101540,(604) 582-2974,CO,"12840 96th Avenue, Cedar Hills",12840 96th Avenue,,Cedar Hills,Surrey,BC,CA,V3V 6A8,"49.176902771, -122.866661072",49.17690277,-122.8666611,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
Safeway-Surrey #1,Starbucks,70382-128708,,LS,10355 King George Hwy,10355 King George Hwy,,,Surrey,BC,CA,V3T 2W6,"49.1907310486, -122.846214294",49.19073105,-122.8462143,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
Shops at Winnipeg Square,Starbucks,4793-106768,204-947-9476,CO,"360 Main St., Unit B-8, Shops at Winnipeg Square",360 Main St.,Unit B-8,Shops at Winnipeg Square,Winnipeg,MB,CA,R3C 3Z3,"49.8943061829, -97.1386260986",49.89430618,-97.1386261,Central Standard Time,-360,GMT-06:00 America/Winnipeg,2013-12-08 17:41:59-05:00
Hastings & Kaslo Street,Starbucks,4578-96122,604-215-2424,CO,2795 East Hastings St,2795 East Hastings St,,,Vancouver,BC,CA,V5K 1Z8,"49.2813186646, -123.046989441",49.28131866,-123.0469894,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
Yaletown,Starbucks,4213-35,(604) 662-4030,CO,"1195 Mainland St, The Hamilton",1195 Mainland St,,The Hamilton,Vancouver,BC,CA,V6B 2S2,"49.2747383118, -123.122200012",49.27473831,-123.1222,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
Queens Quay & York,Starbucks,4524-93176,416-364-3232,CO,208 Queens Quay West,208 Queens Quay West,,,Toronto,ON,CA,M5J 2Y1,"43.6400108337, -79.3809814453",43.64001083,-79.38098145,Eastern Standard Time,-300,GMT-05:00 America/Toronto,2013-12-08 17:41:59-05:00
435 Stone Road W,Starbucks,4288-1222,(519) 822-5733,CO,"435 Stone Road W, Unit F-6 - Main Level, Stone Road Mall",435 Stone Road W,Unit F-6 - Main Level,Stone Road Mall,Guelph,ON,CA,N1G 1X6,"43.518321991, -80.237487793",43.51832199,-80.23748779,Eastern Standard Time,-300,GMT-05:00 America/Toronto,2013-12-08 17:41:59-05:00
Douglas Square,Starbucks,4308-1512,(403) 236-4531,CO,"11566-24th Street SE, Suite # 202",11566-24th Street SE,Suite # 202,,Calgary,AB,CA,T2Z 3J3,"50.9511680603, -114.00151825",50.95116806,-114.0015183,Mountain Standard Time,-420,GMT-07:00 America/Edmonton,2013-12-08 17:41:59-05:00
2100 Hurontario St,Starbucks,4408-6346,905-270-2875,CO,2100 Hurontario Street,2100 Hurontario Street,,,Mississauga,ON,CA,L5B 1M8,"43.5702819824, -79.6027832031",43.57028198,-79.6027832,Eastern Standard Time,-300,GMT-05:00 America/Toronto,2013-12-08 17:41:59-05:00
"YYC Calg Conc C US Depart, Gate 28",Starbucks,75704-94633,,LS,2000 Airport Road,2000 Airport Road,,,Calgary,AB,CA,T2E 6W5,"51.1300849915, -114.011711121",51.13008499,-114.0117111,Mountain Standard Time,-420,GMT-07:00 America/Edmonton,2013-12-08 17:41:59-05:00
University Village - Nanaimo,Starbucks,4989-133209,250-754-6552,CO,"540 5th Street, 103, University Village",540 5th Street,103,University Village,Nanaimo,BC,CA,V9R 1P1,"49.1553497314, -123.951347351",49.15534973,-123.9513474,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
Austin Station,Starbucks,4499-91240,604-931-2115,CO,"2662 Austin Avenue, Austin Station",2662 Austin Avenue,,Austin Station,Coquitlam,BC,CA,V3K 6C4,"49.2488822937, -122.818435669",49.24888229,-122.8184357,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
Empire Building,Starbucks,4541-94177,780-429-2250,CO,"10080 Jasper Avenue, Empire Building",10080 Jasper Avenue,,Empire Building,Edmonton,AB,CA,T5J 1V9,"53.5411529541, -113.493408203",53.54115295,-113.4934082,Mountain Standard Time,-420,GMT-07:00 America/Edmonton,2013-12-08 17:41:59-05:00
Eagle Ridge - Lansdowne & Guildford,Starbucks,4655-100369,604-464-1408,CO,1192 Lansdowne Drive,1192 Lansdowne Drive,,,Coquitlam,BC,CA,V3E 1J7,"49.2837600708, -122.810707092",49.28376007,-122.8107071,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
Wellington & York TD PATH Foodcourt,Starbucks,4779-114784,(416) 304-0391,CO,"100 Wellington Street West, WS13",100 Wellington Street West,WS13,,Toronto,ON,CA,M5K 1J5,"43.6469993591, -79.3825912476",43.64699936,-79.38259125,Eastern Standard Time,-300,GMT-05:00 America/Toronto,2013-12-08 17:41:59-05:00
The Rise-Cambie & W 8th,Starbucks,4893-100918,604-873-4199,CO,2378 Cambie Street,2378 Cambie Street,,,Vancouver,BC,CA,V5Z 2T8,"49.2642593384, -123.114433289",49.26425934,-123.1144333,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
Marine Way & Byrne Road,Starbucks,4821-104450,604-456-0250,CO,7585 Market Crossing,7585 Market Crossing,,,Burnaby,BC,CA,V5J 0A3,"49.1993293762, -122.979194641",49.19932938,-122.9791946,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
Safeway - Kelowna #170,Starbucks,79563-103174,,LS,697 Bernard Avenue,697 Bernard Avenue,,,Kelowna,BC,CA,V1Y 6P4,"49.8861503601, -119.488983154",49.88615036,-119.4889832,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
Dalhousie Station Chapters,Starbucks,4250-932,4032021555,CO,"5005 Dalhousie Drive NW, #195",5005 Dalhousie Drive NW,#195,,Calgary,AB,CA,T3A 5R8,"51.1049728394, -114.160842896",51.10497284,-114.1608429,Mountain Standard Time,-420,GMT-07:00 America/Edmonton,2013-12-08 17:41:59-05:00
420 Essa Rd,Starbucks,4489-92622,705-739-7717,CO,420 Essa Road,420 Essa Road,,,Barrie,ON,CA,L4N 9J7,"44.3468170166, -79.7033843994",44.34681702,-79.7033844,Eastern Standard Time,-300,GMT-05:00 America/Toronto,2013-12-08 17:41:59-05:00
Terwilliger Gardens,Starbucks,4479-91365,780-433-3331,CO,"14239-23rd Avenue, The Shoppes at Terwilleger Gardens",14239-23rd Avenue,,The Shoppes at Terwilleger Gardens,Edmonton,AB,CA,T6R 3E7,"53.4537162781, -113.567489624",53.45371628,-113.5674896,Mountain Standard Time,-420,GMT-07:00 America/Edmonton,2013-12-08 17:41:59-05:00
Cherry Lane - Penticton,Starbucks,4224-44,(250) 492-9133,CO,2111 Main Street,2111 Main Street,,,Penticton,BC,CA,V2A 6V1,"49.4732437134, -119.583869934",49.47324371,-119.5838699,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
Dobbin Rd - Westbank TC,Starbucks,4659-100573,250-707-1720,CO,"2475 Dobbin Road, 30, Westbank Town Centre",2475 Dobbin Road,30,Westbank Town Centre,West Kelowna,BC,CA,V4T 2B9,"49.8282318115, -119.628631592",49.82823181,-119.6286316,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
949 Fort William Road,Starbucks,4621-95876,807-473-4226,CO,"949 Fort William Road, D8, Thunder Bay Centre",949 Fort William Road,D8,Thunder Bay Centre,Thunder Bay,ON,CA,P7B 3A6,"48.4019927979, -89.2411727905",48.4019928,-89.24117279,Eastern Standard Time,-300,GMT-05:00 America/Toronto,2013-12-08 17:41:59-05:00
Blue Mountain Village,Starbucks,75537-60379,705-444-4553,LS,156 Jozo Weider Blvd,156 Jozo Weider Blvd,,,Collingwood,ON,CA,L9Y 3Z2,"44.5040969849, -80.3117599487",44.50409698,-80.31175995,Eastern Standard Time,-300,GMT-05:00 America/Toronto,2013-12-08 17:41:59-05:00
Aspen Landing,Starbucks,4917-119105,403-217-0176,CO,"391 Aspen Glen Landing SW, 105, Aspen Landing",391 Aspen Glen Landing SW,105,Aspen Landing,Calgary,AB,CA,T3H 0N6,"51.0413093567, -114.210449219",51.04130936,-114.2104492,Mountain Standard Time,-420,GMT-07:00 America/Edmonton,2013-12-08 17:41:59-05:00
Davie Village,Starbucks,4561-96063,604-408-5101,CO,1160 Davie Street,1160 Davie Street,,,Vancouver,BC,CA,V6E 1N1,"49.2811775208, -123.132713318",49.28117752,-123.1327133,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
"YUL Mont Drvl Intl Depart, Gate 16",Starbucks,72385-5765,514-633-9972,LS,"975 Boul. Romeo Vachon, #275 Nord.",975 Boul. Romeo Vachon,#275 Nord.,,Dorval,QC,CA,H4Y 1H1,"45.4572906494, -73.7527313232",45.45729065,-73.75273132,Eastern Standard Time,-300,GMT-05:00 America/Montreal,2013-12-08 17:41:59-05:00
West Broadway,Starbucks,166-108,(604) 736-7876,CO,2902 West Broadway,2902 West Broadway,,,Vancouver,BC,CA,V6K 2G8,"49.2639274597, -123.170341492",49.26392746,-123.1703415,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
3235 Dundas St W,Starbucks,4278-885,(905) 608-0633,CO,"3235 Dundas Street West, Unit #1",3235 Dundas Street West,Unit #1,,Mississauga,ON,CA,L6J 4Z3,"43.5182952881, -79.6871948242",43.51829529,-79.68719482,Eastern Standard Time,-300,GMT-05:00 America/Toronto,2013-12-08 17:41:59-05:00
Village Green,Starbucks,4221-46,(250) 260-1488,CO,4900 27th Street,4900 27th Street,,,Vernon,BC,CA,V1T 7G7,"50.2836875916, -119.268615723",50.28368759,-119.2686157,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
Safeway-Sherwood Park #822,Starbucks,74749-97398,780-467-3037,LS,2020 Sherwood Drive,2020 Sherwood Drive,,,Sherwood Park,AB,CA,T8A 3H9,"53.5302810669, -113.295417786",53.53028107,-113.2954178,Mountain Standard Time,-420,GMT-07:00 America/Edmonton,2013-12-08 17:41:59-05:00
761 Bay Street,Starbucks,4870-110432,416-204-1617,CO,761 Bay Street,761 Bay Street,,,Toronto,ON,CA,M5G 2R2,"43.6595306396, -79.3854293823",43.65953064,-79.38542938,Eastern Standard Time,-300,GMT-05:00 America/Toronto,2013-12-08 17:41:59-05:00
Pine Ctre -Prince George,Starbucks,4746-101457,250-562-4272,CO,"3161 Massey Drive, 101, Pine Centre Mall",3161 Massey Drive,101,Pine Centre Mall,Prince George,BC,CA,V2N 2S9,"53.8990974426, -122.779190063",53.89909744,-122.7791901,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
Salish Plaza - Chilliwack,Starbucks,189-141,(604) 792-9434,CO,"46030 Yale Rd, Stes B3-B5",46030 Yale Rd,Stes B3-B5,,Chilliwack,BC,CA,V2P 7V2,"49.1691398621, -121.953651428",49.16913986,-121.9536514,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
Torquay Village,Starbucks,4786-105193,250-477-3134,CO,"4077 Shelbourne Street, Torquay Village",4077 Shelbourne Street,,Torquay Village,Victoria,BC,CA,V8N 5Y1,"48.476600647, -123.332817078",48.47660065,-123.3328171,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
52 Quarry Edge Dr,Starbucks,4343-2067,905-456-1118,CO,"52 Quarry Edge Drive, Market Square Mall",52 Quarry Edge Drive,,Market Square Mall,Brampton,ON,CA,L6V 2K2,"43.7061309814, -79.7832107544",43.70613098,-79.78321075,Eastern Standard Time,-300,GMT-05:00 America/Toronto,2013-12-08 17:41:59-05:00
Midtown,Starbucks,4496-90703,306-955-6380,CO,"201 - 1st Ave S, 701C CN Tower, Midtown Plaza","201 - 1st Ave S, 701C CN Tower",,Midtown Plaza,Saskatoon,SK,CA,S7K 1J5,"52.1274681091, -106.666496277",52.12746811,-106.6664963,Canada Central Standard Time,-360,GMT-06:00 America/Regina,2013-12-08 17:41:59-05:00
Yonge & King,Starbucks,4300-884,(416) 363-5983,CO,4 King Street West,4 King Street West,,,Toronto,ON,CA,M5H 1B6,"43.6492462158, -79.3781356812",43.64924622,-79.37813568,Eastern Standard Time,-300,GMT-05:00 America/Toronto,2013-12-08 17:41:59-05:00
Scott & 72nd,Starbucks,120-171,(604) 543-9797,CO,7221 120th St,7221 120th St,,,Delta,BC,CA,V4C 6P5,"49.1346740723, -122.891815186",49.13467407,-122.8918152,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
369 - 377 Highway 8,Starbucks,4607-98090,905-664-9494,CO,"369-377 Hwy 8, Unit B2, Worsley Plaza",369-377 Hwy 8,Unit B2,Worsley Plaza,Stoney Creek,ON,CA,L8G 1E7,"43.2195358276, -79.7257156372",43.21953583,-79.72571564,Eastern Standard Time,-300,GMT-05:00 America/Toronto,2013-12-08 17:41:59-05:00
London Towne Square,Starbucks,4930-106303,4032500234,CO,"3545 32 Ave NE, 553, London Towne Square",3545 32 Ave NE,553,London Towne Square,Calgary,AB,CA,T1Y 6M6,"51.0810508728, -113.984237671",51.08105087,-113.9842377,Mountain Standard Time,-420,GMT-07:00 America/Edmonton,2013-12-08 17:41:59-05:00
Safeway - Chilliwack #99,Starbucks,74898-100956,604-795-6428,LS,Yale Rd & Chem Ave,Yale Rd & Chem Ave,,,Chilliwack,BC,CA,V2P 2N9,"49.164981842, -121.958763123",49.16498184,-121.9587631,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
1170 Fischer-Hallman road,Starbucks,4815-107007,519-749-0221,CO,"1170 Fischer Hallman Road, Building 200, Unit 20",1170 Fischer Hallman Road,"Building 200, Unit 20",,Kitchener,ON,CA,N2E 3V7,"43.407283783, -80.5003433228",43.40728378,-80.50034332,Eastern Standard Time,-300,GMT-05:00 America/Toronto,2013-12-08 17:41:59-05:00
Parliament & Aberdeen,Starbucks,4831-103578,416-929-2497,CO,492 Parliament Street,492 Parliament Street,,,Toronto,ON,CA,M4X 1P2,"43.6649398804, -79.3684005737",43.66493988,-79.36840057,Eastern Standard Time,-300,GMT-05:00 America/Toronto,2013-12-08 17:41:59-05:00
201 Portage Ave,Starbucks,4882-119424,(204)943-0660,CO,"201 Portage Avenue, 100",201 Portage Avenue,100,,Winnipeg,MB,CA,R3B 3K6,"49.8954162598, -97.1394577026",49.89541626,-97.1394577,Central Standard Time,-360,GMT-06:00 America/Winnipeg,2013-12-08 17:41:59-05:00
Fort Street,Starbucks,190-127,250-383-6208,CO,801 Fort Street,801 Fort Street,,,Victoria,BC,CA,V8W 1H6,"48.424079895, -123.362159729",48.4240799,-123.3621597,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
Waterfront Centre,Starbucks,165-109,(604) 682-0721,CO,"200 Burrard St, Stes 6-7, 57 Food Court 6 & 7",200 Burrard St,Stes 6-7,57 Food Court 6 & 7,Vancouver,BC,CA,V6C 3L5,"49.287853241, -123.115402222",49.28785324,-123.1154022,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
